tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState,recoveryTicks,recoveryActivationCount,recoveryTimeoutCount
396,155,vehicle.carlamotors.carlacola,slow_through,76.4467146336804,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.256224155426025,-2.46853280067444,0,0,normal,0,0,0
396,156,vehicle.bh.crossbike,roadside_edge,44.7658137011862,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0600455813109875,-0.533441007137299,0,0,normal,0,0,0
396,157,vehicle.audi.tt,turn_right,35.7363477124807,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.184770509600639,0.411114156246185,0,0,normal,0,0,0
396,158,vehicle.mitsubishi.fusorosa,straight_through,132.612047693136,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,0.288721114397049,-0.392090559005737,0,0,normal,0,8,0
396,159,vehicle.vespa.zx125,informal_merge,15.0659122544653,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00177791470196098,-0.0019183736294508,0,0,normal,0,0,0
396,160,vehicle.nissan.micra,turn_right,103.289631491324,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.714254975318909,-0.304534494876862,0,0,normal,0,0,0
396,161,vehicle.yamaha.yzf,following_ego_lane,191.026392342895,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.17104284465313,-0.0693039670586586,0,0,normal,0,0,0
397,152,vehicle.tesla.model3,straight_through,103.063417591832,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-8.97479621926323e-05,0.00579033698886633,0,0,normal,0,0,0
397,153,vehicle.harley-davidson.low_rider,turn_left,22.5869487069127,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.00300205824896693,2.64487028121948,0,0,normal,0,0,0
397,154,vehicle.diamondback.century,roadside_edge,94.679131940799,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.457219749689102,2.89453220367432,0,0,normal,0,0,0
397,155,vehicle.carlamotors.carlacola,slow_through,76.5798151048981,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.285153031349182,-2.46512699127197,0,0,normal,0,0,0
397,156,vehicle.bh.crossbike,roadside_edge,44.6553625012577,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0642243772745132,-0.388883501291275,0,0,normal,0,0,0
397,157,vehicle.audi.tt,turn_right,35.8823307004125,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.565223693847656,-0.315035939216614,0,0,normal,0,0,0
397,158,vehicle.mitsubishi.fusorosa,straight_through,133.024286703246,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.763587176799774,-0.36807119846344,0,0,normal,0,8,0
397,159,vehicle.vespa.zx125,informal_merge,15.1210381418031,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00147809414193034,-0.00175832386594266,0,0,normal,0,0,0
397,160,vehicle.nissan.micra,turn_right,103.35612017766,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.32100173830986,-0.294670641422272,0,0,normal,0,0,0
397,161,vehicle.yamaha.yzf,following_ego_lane,190.507906482832,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-3.34121513366699,1.29264831542969,0,0,normal,0,0,0
398,152,vehicle.tesla.model3,straight_through,103.164924513353,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000160830488312058,0.0107863713055849,0,0,normal,0,0,0
398,153,vehicle.harley-davidson.low_rider,turn_left,23.1090575085797,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.00448350654914975,2.45166778564453,0,0,normal,0,0,0
398,154,vehicle.diamondback.century,roadside_edge,95.1731469401913,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.436407893896103,2.89482259750366,0,0,normal,0,0,0
398,155,vehicle.carlamotors.carlacola,slow_through,76.6937643137864,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.283117324113846,-2.46538591384888,0,0,normal,0,0,0
398,156,vehicle.bh.crossbike,roadside_edge,44.5755781576184,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0.150428771972656,0.0451379381120205,0,0,normal,0,0,0
398,157,vehicle.audi.tt,turn_right,36.2813016652013,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.122940741479397,0.274135321378708,0,0,normal,0,0,0
398,158,vehicle.mitsubishi.fusorosa,straight_through,133.368918369925,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.232431992888451,-0.0642446279525757,0,0,normal,0,8,0
398,159,vehicle.vespa.zx125,informal_merge,15.2170273666793,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00196862244047225,-0.00196641171351075,0,0,normal,0,0,0
398,160,vehicle.nissan.micra,turn_right,103.469794019225,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,0.74273544549942,-0.199674978852272,0,0,normal,0,0,0
398,161,vehicle.yamaha.yzf,following_ego_lane,190.506137580547,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,1.76375532150269,-0.998189389705658,0,0,normal,0,0,0
399,152,vehicle.tesla.model3,straight_through,103.28451553685,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-7.51417464925908e-05,0.00503882858902216,0,0,normal,0,0,0
399,153,vehicle.harley-davidson.low_rider,turn_left,23.5005768605515,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.00198309612460434,2.64573168754578,0,0,normal,0,0,0
399,154,vehicle.diamondback.century,roadside_edge,95.5226629279033,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.457554161548615,2.89434051513672,0,0,normal,0,0,0
399,155,vehicle.carlamotors.carlacola,slow_through,76.8300615246472,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.270881325006485,-2.4668402671814,0,0,normal,0,0,0
399,156,vehicle.bh.crossbike,roadside_edge,44.5985941680014,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0.042543102055788,-0.298173099756241,0,0,normal,0,0,0
399,157,vehicle.audi.tt,turn_right,36.387892511138,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.534463822841644,-0.282674521207809,0,0,normal,0,0,0
399,158,vehicle.mitsubishi.fusorosa,straight_through,133.646726797725,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.211850851774216,-0.147567063570023,0,0,normal,0,8,0
399,159,vehicle.vespa.zx125,informal_merge,15.3292962123576,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00199413602240384,-0.00194938620552421,0,0,normal,0,0,0
399,160,vehicle.nissan.micra,turn_right,103.474019355329,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.0734901800751686,-0.362709224224091,0,0,normal,0,0,0
399,161,vehicle.yamaha.yzf,following_ego_lane,190.353833884904,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,0.362908035516739,0.0407548621296883,0,0,normal,0,0,0
400,152,vehicle.tesla.model3,straight_through,103.356746011453,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000217884284211323,0.0143835553899407,0,0,normal,0,0,0
400,153,vehicle.harley-davidson.low_rider,turn_left,23.9167703125033,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,-0.00561256147921085,2.42079973220825,0,0,normal,0,0,0
400,154,vehicle.diamondback.century,roadside_edge,95.9010178173437,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.430974811315536,2.89651107788086,0,0,normal,0,0,0
400,155,vehicle.carlamotors.carlacola,slow_through,77.0177402796374,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.282746642827988,-2.46544194221497,0,0,normal,0,0,0
400,156,vehicle.bh.crossbike,roadside_edge,44.5858547896072,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0.103448674082756,-0.258670717477798,0,0,normal,0,0,0
400,157,vehicle.audi.tt,turn_right,36.7505649961801,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.144278958439827,0.360134840011597,0,0,normal,0,0,0
400,158,vehicle.mitsubishi.fusorosa,straight_through,134.019122310552,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.300966501235962,-0.137736633419991,0,0,normal,0,8,0
400,159,vehicle.vespa.zx125,informal_merge,15.4887616063257,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,0.00165896490216255,0.00292177661322057,0,0,normal,0,0,0
400,160,vehicle.nissan.micra,turn_right,103.472235068384,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.0154846105724573,-0.558726608753204,0,0,normal,0,0,0
400,161,vehicle.yamaha.yzf,following_ego_lane,189.906745847898,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-3.7870512008667,-2.03001570701599,0,0,normal,0,0,0
401,152,vehicle.tesla.model3,straight_through,103.439410529344,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000188459132914431,0.0125551503151655,0,0,normal,0,0,0
401,153,vehicle.harley-davidson.low_rider,turn_left,24.329338872302,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.00232142838649452,2.50510358810425,0,0,normal,0,0,0
401,154,vehicle.diamondback.century,roadside_edge,96.2692960109149,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.436324149370193,2.89646291732788,0,0,normal,0,0,0
401,155,vehicle.carlamotors.carlacola,slow_through,77.1778569998257,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.27987352013588,-2.46579957008362,0,0,normal,0,0,0
401,156,vehicle.bh.crossbike,roadside_edge,44.5447589719389,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.234550088644028,-0.525196492671967,0,0,normal,0,0,0
401,157,vehicle.audi.tt,turn_right,36.9093934360139,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,0.556398928165436,-0.28046327829361,0,0,normal,0,0,0
401,158,vehicle.mitsubishi.fusorosa,straight_through,134.457592948277,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.331855028867722,-0.119452655315399,0,0,normal,0,8,0
401,159,vehicle.vespa.zx125,informal_merge,15.6710115805332,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-0.00216396828182042,-0.00198830175213516,0,0,normal,0,0,0
401,160,vehicle.nissan.micra,turn_right,103.498847261119,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.0600317530333996,-0.407944083213806,0,0,normal,0,0,0
401,161,vehicle.yamaha.yzf,following_ego_lane,188.491375840556,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-3.80647706985474,1.5723317861557,0,0,normal,0,0,0
402,152,vehicle.tesla.model3,straight_through,103.531000514163,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000181659124791622,0.012136192061007,0,0,normal,0,0,0
402,153,vehicle.harley-davidson.low_rider,turn_left,24.7495383208593,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.00307170744054019,2.5220468044281,0,0,normal,0,0,0
