tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
87,2.31950404154257,0.240247979228716,0,35,avoid,15,55.878162966637,11.5906887054465,0,0
88,2.28375425574925,0.258122872125375,0,35,avoid,15,55.6591638706229,6.75971603393258,0,0
89,2.33578690914294,0.23210654542853,0,35,avoid,15,55.4236055044837,1.29571533202878,0,0
90,2.39279399442563,0.203603002787187,0,35,avoid,15,55.1976451389224,-3.86514616012866,0,0
91,2.43596173397478,0.182019133012609,0,35,avoid,15,54.9429487668628,-9.62385654449076,0,0
92,2.45999527953455,0.170002360232724,0,28.453124,avoid,10,54.7043087479273,-15.0109138488746,0,0
93,2.5445693688497,0.127715315575151,0,21.9212,avoid,8,54.4361117019714,-20.5073451995849,0,0
94,2.58117664307618,0.109411678461909,0,15.508382,avoid,11,54.1563868112961,-24.8985385894766,0,0
95,2.61436977722229,0.092815111388854,0,8.97293,avoid,7,53.8707008950874,-27.9979286193883,0,0
96,2.59574232519723,0.102128837401387,0,2.488562,avoid,8,53.6323608222579,-29.9229507446301,0,0
97,2.56421410503798,0.117892947481011,0,-4.103758,avoid,6,53.3370370218537,-31.0915107727068,0,0
98,2.49639953495822,0.151800232520889,0,-10.668676,avoid,6,53.0685746593665,-31.1432075500477,0,0
99,2.45402914426716,0.172985427866422,0,-17.267086,avoid,6,52.8046596361385,-30.161483764645,0,0
100,2.41632186571453,0.191839067142733,0,-23.878378,avoid,8,52.5453641040094,-27.9231281280482,0,0
101,2.37395905820855,0.213020470895726,0,-30.561196,avoid,8,52.3195633784528,-24.9713268280025,0,0
102,2.32431942931662,0.237840285341692,0,-35,avoid,8,52.1227904909712,-21.1087512969971,0,0
103,2.28169285931942,0.25915357034029,0,-35,avoid,8,51.961599931627,-15.9861259460493,0,0
104,2.32798833508582,0.236005832457088,0,-35,avoid,2,51.8575105920278,-11.2130622863769,0,0
105,2.39091270708425,0.204543646457874,0,-35,avoid,8,51.7636352394342,-5.95874738693273,0,0
106,2.45150914218194,0,0.308584857030323,-35,brake,4,51.6764401315661,0.506134033204112,0,0
107,2.41224943876319,0,0.302041573127198,-35,brake,4,51.6301109771815,5.72426414489511,0,0
108,1.97407752374966,0,0.229012920624943,-35,brake,5,51.6141105226432,11.6526861190801,0,0
109,1.64405429933495,0,0.174009049889158,-30.3180825318175,brake,5,51.627276495808,16.1014575958273,0,0
110,1.29925424354874,0,0.116542373924791,-23.7159765318175,brake,6,51.6459881026184,19.8875713348416,0,0
111,0.861196027868261,0,0.0435326713113768,-17.0661165318175,brake,7,51.6542890730047,22.4247226715108,0,0
112,0.000974299703633114,0.299512850148183,0,-10.4068665318175,brake,7,51.6559506133874,22.9878082275411,0,0
113,0.0592353749978637,0.270382312501068,0,-3.80192253181749,brake,7,51.6554568791057,23.0046730041524,0,0
114,0.195860379181497,0.202069810409252,0,2.82112946818251,brake,8,51.6517683008037,23.0465888977178,0,0
115,0.324187057913379,0.13790647104331,0,9.36526946818251,brake,8,51.6408508792406,23.0436305999883,0,0
116,0.452050287918777,0.0739748560406116,0,15.9671354681825,brake,8,51.6217967859524,22.9189548492559,0,0
117,0.501418718239349,0.0492906408803257,0,22.6046714681825,brake,8,51.5946883742439,22.5675544738897,0,0
118,0.447623183366265,0.0761884083168674,0,21.9891232404474,brake,8,51.5628295074688,22.0039234161504,0,0
119,0.463801505667093,0.0680992471664533,0,21.0903099151333,brake,8,51.5273402668215,21.2917289734014,0,0
120,0.475928102869429,1,0,20.0252717731162,avoid,8,51.4924616585296,20.6096649170049,0,0
121,0.53518285157189,1,0,19.1389686650742,avoid,8,51.4563321659699,19.9416828155645,0,0
122,0.905050762753754,0.947474618623123,0,17.8777732787778,avoid,8,51.4061188403514,19.0755004882721,0,0
123,1.53586814588442,0.632065927057789,0,15.7964527612685,avoid,8,51.317276946339,17.6393165588261,0,0
124,2.15520348143743,0.322398259281284,0,13.1712833430375,avoid,8,51.1924378015218,15.820721626282,0,0
125,2.61534441556998,0,0.33589073592833,10.1812155045487,brake,8,51.0167273641487,13.6131849288943,0,0
126,2.72080218236906,0,0.353467030394844,7.57647419238126,brake,8,50.8169428281953,11.5730352401765,0,0
127,2.5471400965619,0,0.324523349426983,0.927178192381264,brake,1,50.620880489292,10.017651557919,0,0
128,2.319584407984,0,0.286597401330666,-5.79124380761874,brake,1,50.4483456572272,9.268956184385,0,0
129,2.11903403484466,0,0.253172339140777,-12.2851158076187,brake,6,50.3260517201075,9.41501235962241,0,0
130,1.8515568323446,0,0.208592805390767,-5.57277180761874,brake,7,50.2132220716758,10.6036024093615,0,0
131,1.69850486504666,0,0.183084144174444,1.02847619238126,brake,7,50.1394385089574,11.6484460830702,0,0
132,1.50904226219227,0,0.151507043698712,7.68805619238126,brake,14,50.0467914693546,11.9538755416941,0,0
133,1.34682874681991,0,0.124471457803318,14.2896221923813,brake,13,49.9555847872171,11.6598463058478,0,0
134,0.000734828695318792,0,0.000122471449219799,20.8699661923813,emergency_stop,13,49.9217500866596,11.4517002105726,0,0
135,0.000247136586533459,0,4.11894310889099e-05,27.4452581923813,emergency_stop,13,49.9217398807978,11.4515619277967,0,0
136,0.000181071283230351,0,3.01785472050585e-05,33.9821201923813,emergency_stop,15,49.921663763545,11.4513816833615,0,0
137,9.94712742714987e-05,0,1.65785457119165e-05,35,emergency_stop,15,49.9216016109408,11.4512844085812,0,0
138,4.12770329165521e-05,0,6.87950548609202e-06,35,emergency_stop,15,49.9215737125188,11.4512510299802,0,0
139,3.37062000304e-05,0,5.61770000506666e-06,35,emergency_stop,14,49.9215648206749,11.4512262344372,0,0
140,1.87398033055333e-05,0,3.12330055092222e-06,35,emergency_stop,14,49.9215496033734,11.4512109756482,0,0
141,4.93244075198832e-06,0,8.2207345866472e-07,35,emergency_stop,14,49.9215419947249,11.4512023925793,0,0
142,2.61202709167179e-06,0,4.35337848611964e-07,34.2148011164052,emergency_stop,10,49.9215419947249,11.4512023925798,0,0
143,1.83338087028948e-06,0,3.05563478381581e-07,35,emergency_stop,11,49.9215369222933,11.4512023925797,0,0
144,9.73428583600827e-07,0,1.62238097266805e-07,35,emergency_stop,12,49.9215369222933,11.4512023925796,0,0
145,1.53181144764313e-07,0,2.55301907940522e-08,35,emergency_stop,14,49.9215369222933,11.4512023925793,0,0
146,3.10501259437548e-07,0,5.1750209906258e-08,35,emergency_stop,15,49.9215369222933,11.45120239259,0,0
147,2.12413229394285e-07,0,3.54022048990475e-08,35,emergency_stop,13,49.9215369222933,11.4512023925794,0,0
148,1.25845852421336e-07,0.299999937077074,0,28.45616,brake,1,49.9215369222933,11.4512023925916,0,0
149,0.0326581975057157,0.283670901247142,0,21.831566,brake,1,49.9210755123363,11.4403886795179,0,0
150,0.0741847939569719,0.262907603021514,0,15.250898,brake,1,49.9191090883291,11.4001483917371,0,0
151,0.231193043135731,0.184403478432134,0,8.624426,brake,1,49.9068040883707,11.2318410873548,0,0
152,0.407217204496352,0.096391397751824,0,1.962026,brake,1,49.8823826752377,10.9806671142713,0,0
153,0.499212617289212,0.050393691355394,0,-4.598722,brake,1,49.8535597466354,10.8396377563612,0,0
154,0.517815562393088,0,0.0863025937321813,-11.17855,emergency_stop,1,49.8265264324744,10.8887109756605,0,0
155,0.000159795531512515,0,2.66325885854192e-05,-17.797852,emergency_stop,1,49.817521275397,10.9436578750745,0,0
156,7.67349708039046e-05,0,1.27891618006508e-05,-24.229516,emergency_stop,1,49.8175061065022,10.9436492920057,0,0
157,4.96918701144862e-05,0,8.28197835241437e-06,-30.702292,emergency_stop,3,49.817478296877,10.9436588287378,0,0
158,2.63347259682034e-05,0,4.38912099470057e-06,-30.1289930247194,emergency_stop,4,49.8174605998532,10.9436664581322,0,0
159,1.4249460050036e-05,0,2.37491000833933e-06,-30.1292049714923,emergency_stop,4,49.8174530154169,10.9436664581322,0,0
160,9.72074518888467e-06,0,1.62012419814745e-06,-30.1293462699976,emergency_stop,4,49.8174479591268,10.9436664581322,0,0
161,5.10414977349427e-06,0,8.50691628915712e-07,-30.1294169194472,emergency_stop,4,49.817445430982,10.9436664581322,0,0
162,4.57197519388875e-07,0,7.61995865648126e-08,-30.1294875690282,emergency_stop,4,49.8174429028374,10.9436664581322,0,0
163,1.63978266070865e-06,0,2.73297110118109e-07,-35,emergency_stop,3,49.8174429028374,10.9436664581323,0,0
164,0.00199320083922071,0,0.000332200139870118,-35,emergency_stop,3,49.8155153999004,10.952979087832,8,8
165,0.000871447375182184,0,0.000145241229197031,-35,emergency_stop,3,49.8142474226778,10.9553728103662,17,9
166,0.000627977678530696,0,0.000104662946421783,-30.2066809363823,emergency_stop,4,49.812599631841,10.9572706222557,25,8
167,0.00515702314162589,0,0.000859503856937649,-23.6655889363823,emergency_stop,6,49.8138990025116,10.9564828872701,32,7
168,0.00966813960849814,0.295165930195751,0,-17.1273529363823,brake,8,49.8233902276504,10.9519071579107,40,8
169,0.555032591130963,0.0224837044345187,0,-10.6242529363823,brake,8,49.8347128076286,10.3943576812871,47,7
170,0.973330581701915,0,0.0622217636169859,-3.97584493638226,brake,8,49.8783972802091,9.11393785477956,55,8
171,0.0581053733562564,0,0.0096842288927094,2.64820906361774,emergency_stop,14,49.9087192247442,8.28063869476437,63,8
172,0.074526685894049,0,0.0124211143156748,9.27242506361774,emergency_stop,14,49.9099580887756,8.26213073730587,72,9
173,0.00442247068414927,0,0.000737078447358212,2.64371506361774,emergency_stop,1,49.9101489519999,8.24983072282235,81,9
174,0.0299793652008975,0,0.00499656086681625,-3.95398693638226,emergency_stop,1,49.9105885555317,8.24169301988046,89,8
