tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState
316,118,vehicle.nissan.micra,turn_right,92.7105964216038,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.7586362361908,2.27510833740234,0,0,normal
316,119,vehicle.yamaha.yzf,following_ego_lane,184.33628153979,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.0668234080076218,-0.00503817480057478,0,0,normal
317,110,vehicle.tesla.model3,straight_through,100.611236659315,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000119294549222104,0.0084255114197731,0,0,normal
317,111,vehicle.harley-davidson.low_rider,turn_left,20.2109392688061,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,8.46862749313004e-05,0.000110674198367633,0,0,normal
317,112,vehicle.diamondback.century,roadside_edge,101.383833642635,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,-0.0434883683919907,-0.241118088364601,0,0,normal
317,113,vehicle.carlamotors.carlacola,slow_through,64.2403248122318,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0.0437282659113407,-0.174077928066254,0,0,normal
317,114,vehicle.bh.crossbike,roadside_edge,81.591210410997,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0379149056971073,-2.97104334831238,0,0,normal
317,115,vehicle.audi.tt,turn_right,24.2359359654969,-3.98689058456157,-0.323579150648306,-3.98689058456157,-0.323579150648306,-0.00310235074721277,0.00365528394468129,0,0,normal
317,116,vehicle.mitsubishi.fusorosa,straight_through,4.76172659475355,-4.99948794685753,0.0715560565314597,0,0,1.38881432576454e-07,2.94637374054219e-07,1,1,normal
317,117,vehicle.vespa.zx125,informal_merge,47.7518414580305,-2.71307771466688,-2.21115565127785,-2.71307771466688,-2.21115565127785,-3.03519797325134,-1.28896141052246,0,0,normal
317,118,vehicle.nissan.micra,turn_right,93.0143173693943,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-1.69805204868317,2.35307240486145,0,0,normal
317,119,vehicle.yamaha.yzf,following_ego_lane,184.308000531731,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,-0.272378265857697,-0.011156439781189,0,0,normal
318,110,vehicle.tesla.model3,straight_through,100.602331611949,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,-0.000197039262275212,0.0136004937812686,0,0,normal
318,111,vehicle.harley-davidson.low_rider,turn_left,20.2177320346575,-3.9825096879287,0.373653028295003,-3.9825096879287,0.373653028295003,-0.000594394805375487,0.000368421751772985,0,0,normal
318,112,vehicle.diamondback.century,roadside_edge,101.39217815575,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.0462986901402473,-0.149283230304718,0,0,normal
